cat_id,job_id,title,date,brand,location,req_id,url,close,full_title,level,job_type
391,32890887504,"WDI Graphic Designer Internship, Fall 2022",2022-07-19,Walt Disney Imagineering,"Lake Buena Vista, Florida, United States",10008714,https://jobs.disneycareers.com/job/lake-buena-vista/wdi-graphic-designer-internship-fall-2022/391/32890887504,-,"WDI Graphic Designer Internship, Fall 2022",,
391,33011715088,Sr. R&D Imagineer Product Lead for Cast Tools and Engagement,2022-07-21,Walt Disney Imagineering,"Glendale, California, United States",7107678120211105,https://jobs.disneycareers.com/job/glendale/sr-r-and-d-imagineer-product-lead-for-cast-tools-and-engagement/391/33011715088,-,Senior Research and Development Imagineer Product Lead for Cast Tools and Engagement,"SENIOR, LEAD","RESEARCH, PRODUCT"
391,33262354160,Lighting Designer-CT,2022-07-25,Walt Disney Imagineering,"Kissimmee, Florida, United States",7113337120220220,https://jobs.disneycareers.com/job/kissimmee/lighting-designer-ct/391/33262354160,2022-07-27,Lighting Designer-CT,,
391,33262356640,Lighting Designer-CT,2022-07-25,Walt Disney Imagineering,"Kissimmee, Florida, United States",7113337020220220,https://jobs.disneycareers.com/job/kissimmee/lighting-designer-ct/391/33262356640,2022-07-27,Lighting Designer-CT,,
391,33262352912,"PH-Structural Engineer, Senior",2022-07-25,Walt Disney Imagineering,"Glendale, California, United States",7113818320220227,https://jobs.disneycareers.com/job/glendale/ph-structural-engineer-senior/391/33262352912,-,"Structural Engineer, Senior (Project Hire)","SENIOR, PROJECT-HIRE",STRUCTURAL
391,33262361104,R&D Imagineer Sr. - Sr. TPM - AI Character Studio,2022-07-25,Walt Disney Imagineering,"Lake Buena Vista, Florida, United States",7107680020211105,https://jobs.disneycareers.com/job/lake-buena-vista/r-and-d-imagineer-sr-sr-tpm-ai-character-studio/391/33262361104,2022-07-29,Research and Development Imagineer Senior - Senior TPM - AI Character Studio,SENIOR,RESEARCH
391,33262354256,Sound Editor Mixer Sr - Project Hire,2022-07-25,Walt Disney Imagineering,"Glendale, California, United States",7036270620220516,https://jobs.disneycareers.com/job/glendale/sound-editor-mixer-sr-project-hire/391/33262354256,2022-08-01,Sound Editor Mixer Senior - Project Hire,"SENIOR, PROJECT-HIRE",
391,33346639008,PH-R&D Imagineer Sr,2022-07-26,Walt Disney Imagineering,"Glendale, California, United States",7107677920220402,https://jobs.disneycareers.com/job/glendale/ph-r-and-d-imagineer-sr/391/33346639008,2022-07-29,Research and Development Imagineer Senior (Project Hire),"SENIOR, PROJECT-HIRE",RESEARCH
391,33364024400,Costume Inventory & Distribution Mgr,2022-07-27,Walt Disney Imagineering,"Orlando, Florida, United States",10004817,https://jobs.disneycareers.com/job/orlando/costume-inventory-and-distribution-mgr/391/33364024400,-,Costume Inventory & Distribution Manager,MANAGER,
391,33364024592,Music Coordinator,2022-07-27,Walt Disney Imagineering,"Glendale, California, United States",10011049,https://jobs.disneycareers.com/job/glendale/music-coordinator/391/33364024592,-,Music Coordinator,,
391,33364024688,PH-Assoc Software Product Mgr,2022-07-27,Walt Disney Imagineering,"Lake Buena Vista, Florida, United States",7113825920220227,https://jobs.disneycareers.com/job/lake-buena-vista/ph-assoc-software-product-mgr/391/33364024688,-,Assoc Software Product Manager (Project Hire),"PROJECT-HIRE, MANAGER","SOFTWARE, PRODUCT"
391,33379646800,Show Programmer Princ,2022-07-27,Walt Disney Imagineering,"Glendale, California, United States",2000100220220130,https://jobs.disneycareers.com/job/glendale/show-programmer-princ/391/33379646800,-,Show Programmer Principal,PRINCIPAL,
391,33423418976,Control Software Developer Principal,2022-07-28,Walt Disney Imagineering,"Glendale, California, United States",7050260820220130,https://jobs.disneycareers.com/job/glendale/control-software-developer-principal/391/33423418976,-,Control Software Developer Principal,PRINCIPAL,SOFTWARE
391,33405939760,Costume Buyer - Textiles,2022-07-28,Walt Disney Imagineering,"Orlando, Florida, United States",10004283,https://jobs.disneycareers.com/job/orlando/costume-buyer-textiles/391/33405939760,-,Costume Buyer - Textiles,,
391,33464983424,Sr. R&D Imagineer - Mechanical Design Engineer,2022-07-28,Walt Disney Imagineering,"Glendale, California, United States",7107678220211105,https://jobs.disneycareers.com/job/glendale/sr-r-and-d-imagineer-mechanical-design-engineer/391/33464983424,-,Senior Research and Development Imagineer - Mechanical Design Engineer,SENIOR,"MECHANICAL, RESEARCH"
391,33474829808,PH-Show Electronic Engineer,2022-07-29,Walt Disney Imagineering,"Lake Buena Vista, Florida, United States",7119270220220421,https://jobs.disneycareers.com/job/lake-buena-vista/ph-show-electronic-engineer/391/33474829808,-,Show Electronic Engineer (Project Hire),PROJECT-HIRE,ELECTRONICS
391,33482446976,Software Product Manager,2022-07-29,Walt Disney Imagineering,"Glendale, California, United States",10006816,https://jobs.disneycareers.com/job/glendale/software-product-manager/391/33482446976,-,Software Product Manager,MANAGER,"SOFTWARE, PRODUCT"
391,33706614576,"Exec Asst, WDI Design & Planning Studio",2022-08-02,Walt Disney Imagineering,"Glendale, California, United States",7025240620220412,https://jobs.disneycareers.com/job/glendale/exec-asst-wdi-design-and-planning-studio/391/33706614576,-,"Exec Assistant, WDI Design & Planning Studio",,
391,33789707216,Project Hire-Associate Project Controls Planner,2022-08-03,Walt Disney Imagineering,"Lake Buena Vista, Florida, United States",7122012920220517,https://jobs.disneycareers.com/job/lake-buena-vista/project-hire-associate-project-controls-planner/391/33789707216,-,Project Hire-Associate Project Controls Planner,"ASSOCIATE, PROJECT-HIRE",PLANNER
391,33773932384,Project Hire-Associate Project Manager,2022-08-03,Walt Disney Imagineering,"Lake Buena Vista, Florida, United States",7121705620220515,https://jobs.disneycareers.com/job/lake-buena-vista/project-hire-associate-project-manager/391/33773932384,-,Project Hire-Associate Project Manager,"ASSOCIATE, PROJECT-HIRE, MANAGER",
391,33789707184,"Project Hire-Project Controls Planner, Senior",2022-08-03,Walt Disney Imagineering,"Lake Buena Vista, Florida, United States",7122060620220517,https://jobs.disneycareers.com/job/lake-buena-vista/project-hire-project-controls-planner-senior/391/33789707184,-,"Project Hire-Project Controls Planner, Senior","SENIOR, PROJECT-HIRE",PLANNER
391,33765824368,Show Control Designer (CT),2022-08-03,Walt Disney Imagineering,"Kissimmee, Florida, United States",7096151920220130,https://jobs.disneycareers.com/job/kissimmee/show-control-designer-ct/391/33765824368,-,Show Control Designer (CT),,
