cat_id,job_id,title,date,brand,location,url,close
391,25561189520,Data Analyst,2022-03-17,Disney Streaming,"Santa Monica, California, United States",https://jobs.disneycareers.com/job/santa-monica/data-analyst/391/25561189520,-
391,582588672,Senior/Ride Technician - Electrical & Instrumental/Mechanical,2022-03-20,Shanghai Disney Resort,"Shanghai, Mainland China",https://jobs.disneycareers.com/job/shanghai/senior-ride-technician-electrical-and-instrumental-mechanical/391/582588672,2022-05-09
391,1803495712,"Host/Hostess, Table service restaurant (waiter/waitress)",2022-03-20,Shanghai Disney Resort,"Shanghai, Mainland China",https://jobs.disneycareers.com/job/shanghai/host-hostess-table-service-restaurant-waiter-waitress/391/1803495712,2022-05-09
391,4534137040,"Host/ Hostess, Front Desk - ￥2500 Sign-on Bonus",2022-03-20,Shanghai Disney Resort,"Shanghai, Mainland China",https://jobs.disneycareers.com/job/shanghai/host-hostess-front-desk-2500-sign-on-bonus/391/4534137040,2022-05-09
391,17880405088,"Host/Hostess, Merchandise ICS",2022-03-20,Shanghai Disney Resort,"Shanghai, Mainland China",https://jobs.disneycareers.com/job/shanghai/host-hostess-merchandise-ics/391/17880405088,2022-05-09
391,25747556656,Workday Reporting Analyst (12 month Project Hire),2022-03-20,The Walt Disney Company (Corporate),"California, United States",https://jobs.disneycareers.com/job/california/workday-reporting-analyst-12-month-project-hire/391/25747556656,-
391,25747556816,Workday Reporting Analyst (12 month Project Hire),2022-03-20,The Walt Disney Company (Corporate),"California, United States",https://jobs.disneycareers.com/job/california/workday-reporting-analyst-12-month-project-hire/391/25747556816,-
391,25747556960,Workday Talent Acquisition Analyst (12 month Project Hire),2022-03-20,The Walt Disney Company (Corporate),"California, United States",https://jobs.disneycareers.com/job/california/workday-talent-acquisition-analyst-12-month-project-hire/391/25747556960,-
391,25793337456,R&D Imagineer Principal - Business Manager,2022-03-21,Walt Disney Imagineering,"Glendale, California, United States",https://jobs.disneycareers.com/job/glendale/r-and-d-imagineer-principal-business-manager/391/25793337456,-
391,25793359904,Associate Product Manager (PH),2022-03-21,Walt Disney Imagineering,"Orlando, Florida, United States / Lake Buena Vista, Florida, United States",https://jobs.disneycareers.com/job/orlando/associate-product-manager-ph/391/25793359904,-
391,24214078320,Character Event Captain,2022-03-22,Shanghai Disney Resort,"Shanghai, Mainland China",https://jobs.disneycareers.com/job/shanghai/character-event-captain/391/24214078320,2022-05-09
391,25767070000,National Lead - New Category Development,2022-03-22,Star,"Bengaluru, India",https://jobs.disneycareers.com/job/bengaluru/national-lead-new-category-development/391/25767070000,2022-05-12
391,25804673536,Illusion Production Mgr Sr,2022-03-22,"Parks, Experiences and Products","Glendale, California, United States",https://jobs.disneycareers.com/job/glendale/illusion-production-mgr-sr/391/25804673536,2022-05-04
391,25854469776,QE Operator (Part-Time),2022-03-22,Disney Streaming,"New York, New York, United States",https://jobs.disneycareers.com/job/new-york/qe-operator-part-time/391/25854469776,2022-05-14
391,25854477200,Manager - Production Finance,2022-03-22,General Entertainment Content,"Burbank, California, United States",https://jobs.disneycareers.com/job/burbank/manager-production-finance/391/25854477200,-
391,25922527760,"Sr Analyst, Data Visualization",2022-03-23,The Walt Disney Company (Corporate),"California, United States",https://jobs.disneycareers.com/job/california/sr-analyst-data-visualization/391/25922527760,2022-05-11
391,25013167568,"Sr Product Manager II, Player Tools and Testing",2022-03-27,Disney Streaming,"New York, New York, United States / Burbank, California, United States",https://jobs.disneycareers.com/job/new-york/sr-product-manager-ii-player-tools-and-testing/391/25013167568,-
